STATION,NAME,LATITUDE,LONGITUDE,INC
US1NYLW0003,"CONSTABLEVILLE 1.2 NW, NY US",44,-75,0
USC00300910,"BRISTOL HARBOUR, NY US",43,-77,0
US1NYJF0026,"MANNSVILLE 0.3 SE, NY US",44,-76,0
USC00301168,"CANDOR 2 SE, NY US",42,-76,0
US1NYDT0038,"HYDE PARK 1.5 E, NY US",42,-74,0
US1NYCQ0035,"FALCONER 0.3 WSW, NY US",42,-79,0
USW00054778,"PENN YAN AIRPORT, NY US",43,-77,1
US1NYCQ0034,"KENNEDY 2.6 SE, NY US",42,-79,0
US1NYTM0003,"ITHACA 1.1 SE, NY US",42,-76,0
US1NYUL0029,"HIGHLAND 0.2 SW, NY US",42,-74,0
US1NYUL0028,"KERHONKSON 3.7 N, NY US",42,-74,0
US1NYTG0030,"CANDOR 1.4 W, NY US",42,-76,0
US1NYHR0012,"DOLGEVILLE 1.9 NW, NY US",43,-75,0
US1NYER0250,"HAMBURG 2.9 NNE, NY US",43,-79,0
US1NYNG0044,"NORTH TONAWANDA 1.4 WNW, NY US",43,-79,0
US1NYFK0007,"SARANAC LAKE 6.2 N, NY US",44,-74,0
US1NYOT0026,"RICHFIELD SPRINGS 4.1 SSE, NY US",43,-75,0
US1NYFK0009,"GABRIELS 1.3 SE, NY US",44,-74,0
US1NYES0012,"SARANAC LAKE 2.7 SSE, NY US",44,-74,0
USW00094740,"SARANAC LAKE ADIRONDACK REGIONAL AIRPORT, NY US",44,-74,1
US1NYWC0007,"YORKTOWN HEIGHTS 0.6 SW, NY US",41,-74,0
USC00309389,"WHITEHALL, NY US",44,-73,1
US1NYNG0002,"NORTH TONAWANDA 1.0 NNE, NY US",43,-79,0
US1NYUL0037,"SAUGERTIES 4.7 NW, NY US",42,-74,0
US1NYCN0014,"OXFORD 0.8 NNW, NY US",42,-76,0
US1NYUL0031,"HURLEY 2.2 S, NY US",42,-74,0
US1NYMG0005,"AMSTERDAM 1.0 NNW, NY US",43,-74,0
US1NYCN0009,"NORWICH 5.4 W, NY US",43,-76,0
US1NYNG0018,"NORTH TONAWANDA 1.7 NE, NY US",43,-79,0
USC00306085,"NORWICH, NY US",43,-76,1
USC00304952,"MACEDON LOCK E30, NY US",43,-77,1
US1NYSC0030,"AMSTERDAM 6.4 E, NY US",43,-74,0
USC00302454,"EAST SIDNEY, NY US",42,-75,1
USC00306047,"NORTH TONAWANDA, NY US",43,-79,1
US1NYUL0004,"RUBY 0.5 NE, NY US",42,-74,0
US1NYUL0003,"ROSENDALE VILLAGE 2.4 NNE, NY US",42,-74,0
US1NYUL0025,"KINGSTON 1.0 SSE, NY US",42,-74,0
US1NYUL0022,"KINGSTON 2.1 N, NY US",42,-74,0
US1NYCN0021,"NORWICH 5.4 ESE, NY US",43,-75,0
