,STATION,NAME,ZIP,LATITUDE,LONGITUDE,2019-01,2019-02,2019-03,2019-04,2020-01,2020-02,2020-03,2020-04,2021-01,2021-02,2021-03,2021-04,2022-01,2022-02,2022-03,2022-04,2023-01,2023-02,2023-03,2023-04
0,USC00300183,"ANGELICA, NY US",14709,42.3108,-78.023,16.129032258064516,28.57142857142857,38.70967741935484,36.666666666666664,25.806451612903224,44.827586206896555,45.16129032258064,43.333333333333336,32.25806451612903,21.428571428571427,16.129032258064516,20.0,12.903225806451612,17.857142857142858,32.25806451612903,50.0,41.935483870967744,50.0,54.83870967741935,23.333333333333332
1,USC00300443,"BATAVIA, NY US",14020,43.02966,-78.16822,22.58064516129032,21.428571428571427,35.483870967741936,26.666666666666668,32.25806451612903,37.93103448275862,35.483870967741936,43.333333333333336,25.806451612903224,17.857142857142858,32.25806451612903,20.0,19.35483870967742,17.857142857142858,32.25806451612903,36.666666666666664,25.806451612903224,42.857142857142854,64.51612903225806,20.0
2,USC00301152,"CANANDAIGUA 3 S, NY US",14424,42.84505,-77.28071,29.03225806451613,35.714285714285715,45.16129032258064,23.333333333333332,38.70967741935484,37.93103448275862,41.935483870967744,40.0,29.03225806451613,25.0,22.58064516129032,23.333333333333332,19.35483870967742,32.142857142857146,32.25806451612903,30.0,35.483870967741936,42.857142857142854,54.83870967741935,16.666666666666664
3,USC00301595,"COBLESKILL 2 ESE, NY US",12043,42.66717,-74.44239,13.793103448275861,29.411764705882355,37.93103448275862,20.0,23.809523809523807,40.909090909090914,38.095238095238095,,14.285714285714285,,,,,,,,,,,
4,USC00301664,"COLTON 2 N, NY US",13625,,,16.129032258064516,21.428571428571427,26.666666666666668,46.666666666666664,16.129032258064516,20.689655172413794,38.70967741935484,50.0,6.451612903225806,17.857142857142858,26.666666666666668,16.666666666666664,9.67741935483871,28.57142857142857,35.483870967741936,33.33333333333333,19.35483870967742,35.714285714285715,54.83870967741935,26.666666666666668
5,USC00301752,"COOPERSTOWN, NY US",13326,,,19.35483870967742,10.714285714285714,19.35483870967742,23.333333333333332,16.129032258064516,10.344827586206897,29.03225806451613,37.93103448275862,9.67741935483871,32.142857142857146,19.35483870967742,20.0,9.67741935483871,25.0,35.483870967741936,40.0,22.58064516129032,42.857142857142854,58.06451612903226,13.333333333333334
6,USC00302169,"DOWNSVILLE DAM, NY US",13755,,,19.35483870967742,28.57142857142857,48.38709677419355,23.333333333333332,35.483870967741936,44.827586206896555,48.38709677419355,46.666666666666664,19.35483870967742,,22.58064516129032,6.666666666666667,19.35483870967742,28.57142857142857,25.806451612903224,31.03448275862069,37.93103448275862,46.42857142857143,54.83870967741935,13.333333333333334
7,USC00302454,"EAST SIDNEY, NY US",13775,42.33278,-75.22982,22.58064516129032,25.0,29.03225806451613,16.666666666666664,30.0,44.827586206896555,45.16129032258064,46.666666666666664,25.806451612903224,17.857142857142858,25.806451612903224,13.333333333333334,16.129032258064516,28.57142857142857,35.483870967741936,36.666666666666664,38.88888888888889,39.285714285714285,48.38709677419355,20.0
8,USC00302574,"ELLENBURG DEPOT, NY US",12934,44.913,-73.8223,12.903225806451612,21.428571428571427,35.483870967741936,30.0,22.58064516129032,31.03448275862069,38.70967741935484,50.0,3.225806451612903,14.285714285714285,25.806451612903224,16.666666666666664,9.67741935483871,21.428571428571427,29.03225806451613,40.0,,,,
9,USC00303025,"FRANKLINVILLE, NY US",14737,42.32933,-78.46378,25.806451612903224,32.142857142857146,35.483870967741936,30.0,22.58064516129032,37.93103448275862,48.38709677419355,36.666666666666664,29.03225806451613,10.714285714285714,29.03225806451613,24.137931034482758,19.35483870967742,14.285714285714285,16.129032258064516,33.33333333333333,38.70967741935484,60.71428571428571,48.38709677419355,16.666666666666664
10,USC00303050,"FREEVILLE 1 NE, NY US",13068,42.5178,-76.3351,19.35483870967742,25.0,35.483870967741936,33.33333333333333,29.03225806451613,34.48275862068966,38.70967741935484,50.0,12.903225806451612,25.0,29.03225806451613,13.333333333333334,9.67741935483871,25.0,38.70967741935484,33.33333333333333,32.25806451612903,57.14285714285714,61.29032258064516,20.0
11,USC00303087,"FULTON, NY US",13069,,,22.58064516129032,35.714285714285715,35.483870967741936,30.0,29.03225806451613,41.37931034482759,35.483870967741936,40.0,22.58064516129032,17.857142857142858,22.58064516129032,13.333333333333334,16.129032258064516,32.142857142857146,45.16129032258064,13.333333333333334,35.483870967741936,39.285714285714285,64.51612903225806,10.0
12,USC00303322,"GLOVERSVILLE 7 NW PECK LAKE, NY US",12078,43.115,-74.4236,6.451612903225806,14.285714285714285,19.35483870967742,42.857142857142854,6.451612903225806,10.344827586206897,54.83870967741935,50.0,0.0,7.142857142857142,41.935483870967744,33.33333333333333,3.4482758620689653,23.809523809523807,43.333333333333336,58.620689655172406,22.58064516129032,25.0,45.16129032258064,35.714285714285715
13,USC00303346,"GOUVERNEUR 3 NW, NY US",13646,,,19.35483870967742,21.428571428571427,22.58064516129032,26.666666666666668,22.58064516129032,37.93103448275862,38.70967741935484,43.333333333333336,12.903225806451612,14.285714285714285,22.58064516129032,16.666666666666664,12.903225806451612,25.0,38.70967741935484,40.0,25.806451612903224,35.714285714285715,79.3103448275862,20.0
14,USC00303851,"HIGHMARKET 2 W, NY US",13325,43.60514,-75.55438,6.451612903225806,10.714285714285714,16.129032258064516,36.666666666666664,12.903225806451612,10.344827586206897,41.935483870967744,56.666666666666664,,,,,6.451612903225806,14.285714285714285,35.483870967741936,43.333333333333336,9.67741935483871,14.285714285714285,32.25806451612903,20.0
