,PRODUCER,ADDRESS,ZIP,Unnamed: 0,STATION,STATION_NAME,LATITUDE,LONGITUDE,2019-01,2019-02,2019-03,2019-04,2020-01,2020-02,2020-03,2020-04,2021-01,2021-02,2021-03,2021-04,2022-01,2022-02,2022-03,2022-04,2023-01,2023-02,2023-03,2023-04
10,Cooks Pure Maple Products,"247 County Rd 20, Sherburne, NY, USA",13460,27,USC00307705,"SHERBURNE, NY US",,,22.58064516129032,25.0,32.25806451612903,33.33333333333333,32.25806451612903,31.03448275862069,48.38709677419355,50.0,16.129032258064516,17.857142857142858,22.58064516129032,6.666666666666667,12.903225806451612,25.0,35.483870967741936,37.93103448275862,41.935483870967744,42.85714285714285,54.83870967741935,20.0
11,Cooks Pure Maple Products,"247 County Rd 20, Sherburne, NY, USA",13460,38,USR0000NSHR,"SHERBURNE NEW YORK, NY US",,,8.333333333333332,36.0,35.483870967741936,23.33333333333333,38.70967741935484,48.27586206896552,41.935483870967744,33.33333333333333,29.03225806451613,21.428571428571427,25.806451612903224,20.0,12.903225806451612,25.0,32.25806451612903,26.666666666666668,35.483870967741936,42.85714285714285,64.51612903225806,20.0
12,"Cooperstown Maple Works, LLC","361 Sibley Gulf Rd, Cooperstown, NY, USA",13326,5,USC00301752,"COOPERSTOWN, NY US",,,19.35483870967742,10.714285714285714,19.35483870967742,23.33333333333333,16.129032258064516,10.344827586206897,29.03225806451613,37.93103448275862,9.67741935483871,32.142857142857146,19.35483870967742,20.0,9.67741935483871,25.0,35.483870967741936,40.0,22.58064516129032,42.85714285714285,58.06451612903226,13.333333333333334
13,Cornell University Uihlein Maple Research Forest,"157 Bear Cub Road, Lake Placid, NY, USA",12946,17,USC00304555,"LAKE PLACID 2 S, NY US",,,,,50.0,41.17647058823529,25.0,40.0,51.61290322580645,73.33333333333333,0.0,7.142857142857142,16.129032258064516,37.93103448275862,3.225806451612903,14.285714285714285,38.70967741935484,60.0,10.0,21.428571428571427,22.58064516129032,34.48275862068966
14,Dutchess County Parks,"85 Sheafe Road, Wappingers Falls, NY 12590, USA",12590,39,USR0000NSTO,"STONYKILL NEW YORK, NY US",41.5,-73.9,35.483870967741936,42.85714285714285,48.38709677419355,13.333333333333334,54.83870967741935,55.172413793103445,35.483870967741936,16.666666666666664,54.83870967741935,42.85714285714285,29.03225806451613,3.333333333333333,29.03225806451613,28.57142857142857,35.483870967741936,3.333333333333333,51.61290322580645,57.14285714285714,48.38709677419355,3.333333333333333
15,DWC Maple,"7569 Town Line Rd, Victor, NY, USA",14564,31,USC00308839,"VICTOR 2 NW, NY US",,,,,,,,,,,,,,16.666666666666664,16.129032258064516,28.57142857142857,35.483870967741936,36.66666666666666,38.70967741935484,32.142857142857146,58.06451612903226,10.0
16,Evan Zehr maple,"5574 Highland Ave, Lowville, NY 13367, USA",13367,18,USC00304912,"LOWVILLE, NY US",,,19.35483870967742,21.428571428571427,25.806451612903224,33.33333333333333,29.03225806451613,31.03448275862069,54.83870967741935,50.0,9.67741935483871,17.857142857142858,25.806451612903224,13.333333333333334,12.903225806451612,21.428571428571427,41.935483870967744,43.333333333333336,25.806451612903224,39.285714285714285,58.06451612903226,26.666666666666668
17,Evan Zehr maple,"5574 Highland Ave, Lowville, NY 13367, USA",13367,29,USC00308248,"STILLWATER RESERVOIR, NY US",,,10.0,16.666666666666664,4.761904761904762,23.809523809523807,15.0,23.52941176470588,36.84210526315789,47.61904761904761,0.0,5.88235294117647,4.545454545454546,18.181818181818183,0.0,13.333333333333334,42.10526315789473,46.66666666666666,16.666666666666664,28.57142857142857,36.36363636363637,38.88888888888889
18,Finger Lakes Maple,"7 Knoll Tree Road, Ithaca, NY, 14850, USA",14850,15,USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",42.44915,-76.44905,22.58064516129032,25.0,38.70967741935484,40.0,35.483870967741936,34.48275862068966,32.25806451612903,50.0,19.35483870967742,21.428571428571427,29.03225806451613,13.333333333333334,16.129032258064516,25.0,35.483870967741936,33.33333333333333,41.935483870967744,50.0,58.06451612903226,23.33333333333333
19,Flackwell Farms LLC,"4719 State Highway 68, Ogdensburg, NY, 13669 USA",13669,25,USC00306164,"OGDENSBURG 4 NE, NY US",,,19.047619047619047,21.428571428571427,41.935483870967744,30.0,12.903225806451612,27.58620689655172,51.61290322580645,53.333333333333336,12.903225806451612,29.629629629629623,13.636363636363637,16.666666666666664,9.67741935483871,28.57142857142857,32.25806451612903,26.31578947368421,19.35483870967742,35.714285714285715,67.74193548387096,16.666666666666664
20,Giffin Road Maple,"6166 US Highway 11, Canton, NY, 13617, USA",13617,40,USW00014743,"CANTON 4 SE, NY US",,,15.789473684210526,26.31578947368421,26.31578947368421,40.0,10.0,23.809523809523807,,,,,,21.052631578947366,,,41.17647058823529,30.0,22.22222222222222,,100.0,23.33333333333333
21,Gillette’s Maple Products & farm,"747 County Road 23, Sherburne, NY 13460, USA",13460,27,USC00307705,"SHERBURNE, NY US",,,22.58064516129032,25.0,32.25806451612903,33.33333333333333,32.25806451612903,31.03448275862069,48.38709677419355,50.0,16.129032258064516,17.857142857142858,22.58064516129032,6.666666666666667,12.903225806451612,25.0,35.483870967741936,37.93103448275862,41.935483870967744,42.85714285714285,54.83870967741935,20.0
22,Gillette’s Maple Products & farm,"747 County Road 23, Sherburne, NY 13460, USA",13460,38,USR0000NSHR,"SHERBURNE NEW YORK, NY US",,,8.333333333333332,36.0,35.483870967741936,23.33333333333333,38.70967741935484,48.27586206896552,41.935483870967744,33.33333333333333,29.03225806451613,21.428571428571427,25.806451612903224,20.0,12.903225806451612,25.0,32.25806451612903,26.666666666666668,35.483870967741936,42.85714285714285,64.51612903225806,20.0
23,Heaven Hill Farm,"302 Bear Cub Lane, Lake Placid, NY, 12946, USA",12946,17,USC00304555,"LAKE PLACID 2 S, NY US",,,,,50.0,41.17647058823529,25.0,40.0,51.61290322580645,73.33333333333333,0.0,7.142857142857142,16.129032258064516,37.93103448275862,3.225806451612903,14.285714285714285,38.70967741935484,60.0,10.0,21.428571428571427,22.58064516129032,34.48275862068966
24,Junior’s Maple LLC,"9280 Alexander Road, Batavia, NY, USA",14020,1,USC00300443,"BATAVIA, NY US",43.02966,-78.16822,22.58064516129032,21.428571428571427,35.483870967741936,26.666666666666668,32.25806451612903,37.93103448275862,35.483870967741936,43.333333333333336,25.806451612903224,17.857142857142858,32.25806451612903,20.0,19.35483870967742,17.857142857142858,32.25806451612903,36.66666666666666,25.806451612903224,42.85714285714285,64.51612903225806,20.0
25,K-D Acres,"7478 State Street, Sodus, NY 14551, USA",14551,28,USC00307842,"SODUS 1 W, NY US",43.2359,-77.0841,19.35483870967742,28.57142857142857,41.935483870967744,40.0,25.806451612903224,37.93103448275862,35.483870967741936,46.66666666666666,32.25806451612903,21.428571428571427,32.25806451612903,13.333333333333334,15.384615384615383,35.714285714285715,41.935483870967744,30.0,41.935483870967744,42.85714285714285,54.83870967741935,20.0
26,Kettle Ridge Farm,"515 Log Cabin Road, Victor, NY 14564, USA",14564,31,USC00308839,"VICTOR 2 NW, NY US",,,,,,,,,,,,,,16.666666666666664,16.129032258064516,28.57142857142857,35.483870967741936,36.66666666666666,38.70967741935484,32.142857142857146,58.06451612903226,10.0
27,Kraeger’s Syrup,"6224 Wynn Road, Constableville, NY, 13325, USA",13325,14,USC00303851,"HIGHMARKET 2 W, NY US",43.60514,-75.55438,6.451612903225806,10.714285714285714,16.129032258064516,36.66666666666666,12.903225806451612,10.344827586206897,41.935483870967744,56.66666666666666,,,,,6.451612903225806,14.285714285714285,35.483870967741936,43.333333333333336,9.67741935483871,14.285714285714285,32.25806451612903,20.0
28,Lakeview Maple,"25 McCormick Road, Ogdensburg, NY, USA",13669,25,USC00306164,"OGDENSBURG 4 NE, NY US",,,19.047619047619047,21.428571428571427,41.935483870967744,30.0,12.903225806451612,27.58620689655172,51.61290322580645,53.333333333333336,12.903225806451612,29.629629629629623,13.636363636363637,16.666666666666664,9.67741935483871,28.57142857142857,32.25806451612903,26.31578947368421,19.35483870967742,35.714285714285715,67.74193548387096,16.666666666666664
29,Last Chance Ranch,"389 Last Chance Wy, Lake Placid, NY 12946, USA",12946,17,USC00304555,"LAKE PLACID 2 S, NY US",,,,,50.0,41.17647058823529,25.0,40.0,51.61290322580645,73.33333333333333,0.0,7.142857142857142,16.129032258064516,37.93103448275862,3.225806451612903,14.285714285714285,38.70967741935484,60.0,10.0,21.428571428571427,22.58064516129032,34.48275862068966
30,Maple Help Stock Farms,"207 Hurlbut Road, Mexico, NY, USA",13114,21,USC00305280,"MEXICO 2 SW, NY US",,,,,,,,,,,,,,,16.129032258064516,25.0,45.16129032258064,33.33333333333333,38.70967741935484,42.85714285714285,61.29032258064516,26.666666666666668
31,Maple Hill Syrup Farms LLC,"107 C Crapser Road, Cobleskill, NY, USA",12043,3,USC00301595,"COBLESKILL 2 ESE, NY US",42.66717,-74.44239,13.79310344827586,29.411764705882355,37.93103448275862,20.0,23.809523809523807,40.909090909090914,38.095238095238095,,14.285714285714285,,,,,,,,,,,
32,Maple Mountain Sweets,"7692 Lanpher Street, Lowville, NY, 13367 USA",13367,18,USC00304912,"LOWVILLE, NY US",,,19.35483870967742,21.428571428571427,25.806451612903224,33.33333333333333,29.03225806451613,31.03448275862069,54.83870967741935,50.0,9.67741935483871,17.857142857142858,25.806451612903224,13.333333333333334,12.903225806451612,21.428571428571427,41.935483870967744,43.333333333333336,25.806451612903224,39.285714285714285,58.06451612903226,26.666666666666668
33,Maple Mountain Sweets,"7692 Lanpher Street, Lowville, NY, 13367 USA",13367,29,USC00308248,"STILLWATER RESERVOIR, NY US",,,10.0,16.666666666666664,4.761904761904762,23.809523809523807,15.0,23.52941176470588,36.84210526315789,47.61904761904761,0.0,5.88235294117647,4.545454545454546,18.181818181818183,0.0,13.333333333333334,42.10526315789473,46.66666666666666,16.666666666666664,28.57142857142857,36.36363636363637,38.88888888888889
34,Maple River Syrup Company,"2480 County Road 21, Canton, NY, USA",13617,40,USW00014743,"CANTON 4 SE, NY US",,,15.789473684210526,26.31578947368421,26.31578947368421,40.0,10.0,23.809523809523807,,,,,,21.052631578947366,,,41.17647058823529,30.0,22.22222222222222,,100.0,23.33333333333333
35,Maplewood Sweets LLC,"20322 County Road 63, Watertown, NY 13601, USA",13601,34,USC00309000,"WATERTOWN, NY US",,,19.35483870967742,25.0,29.03225806451613,30.0,29.03225806451613,27.58620689655172,48.38709677419355,53.333333333333336,6.451612903225806,17.857142857142858,29.03225806451613,16.666666666666664,12.903225806451612,21.428571428571427,35.483870967741936,33.33333333333333,25.806451612903224,35.714285714285715,54.83870967741935,23.33333333333333
36,Mark Twain Mapleworks,"624 Lake Street, Saranac Lake, NY 12983, USA",12983,44,USW00094740,"SARANAC LAKE ADIRONDACK REGIONAL AIRPORT, NY US",44.39279,-74.20288,3.571428571428571,17.857142857142858,19.35483870967742,33.33333333333333,6.451612903225806,13.79310344827586,35.483870967741936,70.0,3.225806451612903,7.142857142857142,16.129032258064516,36.66666666666666,3.225806451612903,17.857142857142858,32.25806451612903,60.0,19.35483870967742,25.0,32.25806451612903,26.666666666666668
37,Marsha’s Maple House,"3 Vincent Road, Malone, NY, 12953, USA",12953,20,USC00304996,"MALONE, NY US",,,16.129032258064516,17.857142857142858,19.35483870967742,36.66666666666666,25.806451612903224,27.58620689655172,41.935483870967744,60.0,3.225806451612903,14.285714285714285,16.129032258064516,13.333333333333334,9.67741935483871,21.428571428571427,35.483870967741936,36.66666666666666,16.129032258064516,32.142857142857146,51.61290322580645,33.33333333333333
38,Massey Ranch,"20605 Combs Road, Watertown, NY 13601, USA",13601,34,USC00309000,"WATERTOWN, NY US",,,19.35483870967742,25.0,29.03225806451613,30.0,29.03225806451613,27.58620689655172,48.38709677419355,53.333333333333336,6.451612903225806,17.857142857142858,29.03225806451613,16.666666666666664,12.903225806451612,21.428571428571427,35.483870967741936,33.33333333333333,25.806451612903224,35.714285714285715,54.83870967741935,23.33333333333333
39,Menard Family Maple LLC,"6811 Townline Rd, North Tonawanda, NY, 14120, USA",14120,23,USC00306047,"NORTH TONAWANDA, NY US",43.05734,-78.86171,,40.909090909090914,45.16129032258064,30.0,45.16129032258064,41.37931034482759,41.935483870967744,46.66666666666666,32.25806451612903,17.857142857142858,41.935483870967744,20.0,25.806451612903224,28.57142857142857,45.16129032258064,36.66666666666666,32.25806451612903,39.285714285714285,61.29032258064516,10.0
